xNose;yNose;scoreNose;xNeck;yNeck;scoreNeck;xRShoulder;yRShoulder;scoreRShoulder;xRElbow;yRElbow;scoreRElbow;xRWrist;yRWrist;scoreRWrist;xLShoulder;yLShoulder;scoreLShoulder;xLElbow;yLElbow;scoreLElbow;xLWrist;yLWrist;scoreLWrist;xRHip;yRHip;scoreRHip;xRKnee;yRKnee;scoreRKnee;xRAnkle;yRAnkle;scoreRAnkle;xLHip;yLHip;scoreLHip;xLKnee;yLKnee;scoreLKnee;xLAnkle;yLAnkle;scoreLAnkle;xREye;yREye;scoreREye;xLEye;yLEye;scoreLEye;xREar;yREar;scoreREar;xLEar;yLEar;scoreLEar;label
392.72;465.23;0.95575;484.64;207.53;0.93415;496.46;201.3;0.032829;494.26;195.3;0.97857;458.44;156.72;0.0059499;481.21;159.51;0.62042;422.23;178.87;0.88804;399;105.85;0.89377;413.18;286.78;0.85768;296.68;51.045;0.88543;420.31;390.95;0.898;218.68;129.27;0.911;245.72;107.01;0.94852;199.46;86.521;0.94846;275.5;277.92;0.97248;216.11;276.49;0.97184;284.68;429.43;0.93842;223.94;446.97;0.93351;1
302.02;389.56;0.94202;244.38;95.14;0.81777;239.61;85.177;0.027604;240.45;83.122;0.89408;184.4;93.879;0.043946;219.27;94.295;0.89574;155.58;168.7;0.80218;224.04;175.76;0.95235;179.02;279.1;0.282;266.17;300.06;0.90571;281.51;305.59;0.21899;366.96;310.08;0.82559;157.33;367.84;0.69412;216.3;376.83;0.8321;324.88;312.08;0.47782;393.7;336.09;0.70378;331.54;387.1;0.29763;336.24;393.73;0.4276;1
110.4;492.21;0.67507;234.21;87.279;0.96865;231.24;76.653;0.19546;223.28;77.163;0.9849;202.13;86.537;0.0066452;189.58;88.92;0.96187;186.63;161.36;0.70966;181.05;166;0.97411;195.89;268.48;0.13184;191.16;272.96;0.95837;223.77;348.42;0.14463;222.06;359.14;0.90412;188.43;356.17;0.84156;186.78;361.44;0.95904;184.73;488.35;0.55646;188.78;494.01;0.86141;168.31;577;0.24469;165.76;586.54;0.49353;1
240.96;565.76;0.93898;185.04;135.67;0.99335;198.52;124.41;0.99303;176.39;122.37;0.96459;229.93;118.35;0.95952;170.83;116.58;0.42381;259.9;196.8;0.97135;163.81;187.52;0.97487;283.54;294.83;0.9484;154.55;267.36;0.94498;218.18;290.03;0.94878;149.67;282.57;0.93827;234.84;342.29;0.98263;169.49;331.52;0.98386;173.24;444.68;0.97565;80.196;415.3;0.97445;213.49;539.14;0.92397;130.31;515.64;0.92464;1
161.83;404.48;0.93215;201.14;172.51;0.99632;208.75;165.04;0.99219;193.4;165.8;0.9869;220.85;169.92;0.92134;183.81;171.99;0.6637;235.1;227;0.97409;168.16;226.8;0.97276;244.84;292.63;0.94649;157.43;291.84;0.94238;259.68;345.01;0.92599;138.89;340.76;0.92296;220.27;334.01;0.98571;176.22;333.86;0.98519;224.86;418.18;0.96808;170.37;418.08;0.96667;232.13;500.49;0.90804;163.48;497.89;0.9058;1
304.85;567.59;0.9413;204.33;116.79;0.99751;214.91;102.95;0.97805;186.96;104.35;0.99025;227.92;111.42;0.28766;161.58;115.28;0.79752;190.53;185.22;0.96395;169.7;187.03;0.95922;191.27;303.22;0.88533;150.13;300.15;0.91313;239.27;353.52;0.85331;227.03;360.6;0.90605;192.76;368.02;0.95565;177.32;379.28;0.95402;339.56;402.04;0.93451;339.46;411.73;0.94357;346.67;562.85;0.81526;336.28;575.86;0.82923;1
414.08;367.06;0.94093;268.72;101.52;0.98633;265.76;89.816;0.26131;257.91;89.533;0.98955;245.74;97.504;0.010998;225.19;98.205;0.81656;227.24;178.76;0.92517;212.01;181.24;0.95477;221.25;287.23;0.62303;206.45;291.1;0.88406;216.02;371.68;0.48533;194.48;384.21;0.82513;251.97;352.08;0.82957;243;364.48;0.87022;389.41;370.41;0.62703;389.66;373.53;0.72617;517.46;386.01;0.38894;529.34;389.31;0.45579;1
244.18;496.49;0.93673;244.11;200.32;0.94606;252.45;189.3;0.96153;245.49;188.47;0.19041;284.66;193.87;0.97846;269.33;194.48;0.071004;297.72;280.52;0.97187;280.63;267.33;0.95727;310.71;389.73;0.96967;284.76;367.16;0.88056;231.84;422.03;0.97722;236.75;383.53;0.90266;286.84;432.17;0.96403;269.9;414.87;0.95112;155.99;458.35;0.97284;162.07;416.06;0.94595;164.43;596.12;0.91141;175.64;542.46;0.87563;1
164.59;541.74;0.93848;146.76;163.32;0.92142;146.5;151.38;0.11373;139.58;151.29;0.94042;117.69;152.46;0.013761;108.34;151.07;0.87345;110.93;229.53;0.77567;107.95;238.14;0.96198;130.27;365.84;0.26349;124.85;384.34;0.91394;171.81;476.17;0.16354;180.44;498.08;0.77711;117.24;462.98;0.76919;116.28;470.84;0.89356;125.49;620.6;0.18612;133.73;627.02;0.35872;130.21;633.3;0.044183;136.8;642.12;0.072391;1
418.68;622.1;0.91671;302.07;92.881;0.95456;316.92;78.613;0.97224;305.2;78.808;0.090127;376.75;89.254;0.97383;340.43;87.17;0.1235;388.06;206.54;0.95598;352.23;195.46;0.95342;337.78;374.47;0.93375;301.26;345.44;0.86169;211.98;428.5;0.93147;211.64;399.61;0.84467;349.61;482.71;0.91866;314.62;449.12;0.91279;92.444;536.32;0.71267;103.46;477.23;0.63432;137.17;615.66;0.24;120.93;608.86;0.20973;1
269.01;602.69;0.93509;360;100.89;0.98251;361.26;87.309;0.19117;349.96;86.117;0.9908;329;87.477;0.0069429;302.77;86.478;0.91883;286.36;160.57;0.96402;275.54;185.71;0.97427;294.95;280.82;0.87522;287.12;344.88;0.94656;354.96;314.64;0.85354;392.63;373.76;0.93166;268.48;358.48;0.94912;258.17;388.94;0.95467;401.74;357.54;0.90053;425.38;409.74;0.92627;387.03;526.58;0.72886;385.59;562.86;0.75822;1
280.95;619.28;0.86605;216.86;90.021;0.94702;215.53;74.146;0.064786;210.47;75.301;0.96149;161.7;74.217;0.023137;174.8;77.52;0.95647;140.3;153.84;0.86233;148.1;171.27;0.97348;238.09;232.47;0.40529;271.09;235.62;0.96065;221.82;152.75;0.36514;221.73;121.81;0.91384;166.8;365.09;0.89526;172.4;384.14;0.95606;323.63;370.39;0.79583;331.59;396.44;0.93893;254.86;541.94;0.59281;262.35;560.11;0.7847;1
78.511;406.92;0.76326;352.14;52.73;0.96964;350.39;45.502;0.28457;344.91;45.955;0.98503;330.08;50.987;0.012166;322.74;52.989;0.94546;325.52;99.43;0.76191;315.33;100.8;0.97371;325.9;164.15;0.17385;310.33;164.57;0.94882;337.32;219.52;0.20327;325.21;224.7;0.90525;320.16;212.11;0.86086;313.28;213.54;0.95959;315.12;303.41;0.81959;314.62;305.26;0.9503;308.21;392.32;0.68901;307.79;398.56;0.85675;1
166.9;296.37;0.94035;215.17;130.22;0.9959;223.13;124.19;0.99175;207.22;123.84;0.98461;232.41;132.76;0.8365;195.45;132.52;0.72193;236.43;172.42;0.9792;196.14;177.07;0.97919;243.97;234.3;0.94066;205.74;230.08;0.90006;194.13;238.37;0.93347;179.17;235.5;0.87424;233.38;264.18;0.96481;204.44;259.94;0.96179;138.15;262.36;0.95578;140.62;253.9;0.9404;140.28;367.69;0.89259;145.17;352.34;0.87192;1
224.5;297.39;0.94806;231.71;134.06;0.99579;237.76;127.84;0.98417;224.37;128.58;0.98651;246.75;133.13;0.73568;214.45;133.76;0.69205;262.01;173.27;0.96875;196.67;173.93;0.96035;278.44;215.57;0.93981;179.2;227.78;0.92375;284.81;244.35;0.92518;204.7;258.41;0.91667;264.68;255.26;0.97038;220.33;259.92;0.96686;324.53;275.15;0.95147;242.28;276.52;0.94862;345.7;367.3;0.89351;251.37;367.09;0.88996;1
199.16;439.84;0.93757;189.42;133.2;0.99846;198.28;121.8;0.98754;175.1;121.76;0.99623;207.3;126.65;0.18128;148.02;128.74;0.828;178.2;182.32;0.90121;165.67;189.52;0.95803;195.64;269.89;0.60259;184.56;280.26;0.91278;220.28;336.49;0.51498;221.62;350.71;0.86411;189.34;316.14;0.91444;188.99;332.8;0.9446;283.9;314.11;0.88641;308.31;351.5;0.93433;254.39;428.35;0.81293;259.35;462.33;0.86017;1
395.79;467.9;0.82853;227.52;112.34;0.99742;235.82;101.33;0.90021;215.33;96.034;0.99691;235.34;107.06;0.034045;178.31;95.687;0.88464;196.87;177.3;0.94839;159.64;172.44;0.95727;235.36;277.05;0.78336;223.11;276.22;0.91399;315.41;274.07;0.72483;313.52;272.95;0.89213;214.08;374.39;0.89483;186.96;386.6;0.90558;358.35;385.19;0.60907;351.89;393.9;0.69029;397.66;508.96;0.22178;386.9;515.61;0.26062;1
80.296;385.81;0.8953;342.41;75.026;0.9378;340.48;68.204;0.18406;336.9;68.182;0.9714;320.08;73.554;0.018616;317.4;73.987;0.94104;317.39;114.45;0.80832;310.43;115.04;0.97842;322.77;175.52;0.20821;314.25;178.04;0.9553;332.07;224.82;0.21468;323.39;229.65;0.90319;321.51;220.74;0.91088;316.06;221.7;0.9742;314.14;311.42;0.90215;310.73;312.38;0.97389;312.22;394.85;0.85345;304.26;400.08;0.9392;1
75.5;382.15;0.91314;301.47;75.456;0.96493;308.77;69.149;0.98158;303.33;68.502;0.37849;329.15;76.181;0.9859;314.79;74.898;0.067779;333.59;121.36;0.97693;319.99;119.58;0.82097;332.92;184.9;0.9566;318.46;182.24;0.21411;326.04;238.23;0.9144;310.87;233.7;0.20988;326.78;235.56;0.97478;316.16;233.73;0.91776;331.65;323.18;0.96888;323.89;322.24;0.89138;335.02;408.14;0.91325;328.06;403.5;0.80834;1
81.279;370.66;0.91925;331.01;72.509;0.98075;329.25;66.655;0.63511;322.14;68.266;0.98521;324.7;75.319;0.028615;304.05;80.237;0.93424;323.62;123.95;0.86121;299.16;122.5;0.97987;330.66;184.94;0.30421;297.37;186.73;0.95576;340.73;234.69;0.30329;295.82;240.23;0.91728;337.07;229.19;0.93432;315.19;229.61;0.9781;324.49;315.67;0.92065;306.86;315.26;0.97577;316;394.65;0.87018;302.44;399.2;0.94113;1
469.98;587.93;0.93792;283.21;191.41;0.98586;276.52;167.77;0.21029;259.26;167.22;0.99325;244.46;179.27;0.0056219;184.36;190.05;0.91893;222.35;319.08;0.95672;159.54;354.95;0.93353;332.53;458.2;0.81846;335.73;542.17;0.72334;437.66;357.61;0.80761;312.73;453.15;0.75224;330.44;608.77;0.53454;270.61;633.52;0.46376;480.79;629.42;0.060769;445.9;635.24;0.060316;387.8;610.43;0.015061;345.21;605.15;0.015357;1
131.48;620.2;0.8144;97.45;63.4;0.90882;106.96;53.42;0.95537;99.377;52.201;0.095159;138.51;61.618;0.98926;132.56;56.709;0.045895;145.26;135.9;0.98306;141.8;125.99;0.80426;138.49;244.31;0.97071;129.13;230.25;0.15932;119.83;334.95;0.93078;98.114;313.65;0.15685;135.84;312.86;0.97876;134.86;307.78;0.9159;130.7;457.78;0.97212;128.67;454.15;0.87844;135.74;599.12;0.86806;134.15;589.64;0.69244;1
598.34;592.14;0.88512;403.94;149.67;0.99126;424.59;128.53;0.99658;406.54;125.68;0.34187;496.77;137.26;0.9871;436.86;129.53;0.17941;522.9;274.97;0.95703;471.21;221.07;0.9652;376.45;423.94;0.91065;347.34;317.46;0.85167;213.47;439.5;0.91688;233.77;382.36;0.8439;460.76;529.65;0.9023;430.81;475.19;0.91002;257.12;384.47;0.93559;279.72;301.82;0.91955;143.7;557.61;0.89678;205.96;464.08;0.89062;1
234.01;626.44;0.94784;171.97;89.051;0.99742;187.32;71.391;0.99551;154.42;73.484;0.99345;210.07;78.57;0.87794;135.04;83.584;0.67454;236.51;158.14;0.97208;118.74;157.81;0.97546;253.25;284.49;0.9272;90.132;273.54;0.93625;248.05;403.62;0.91177;71.085;389.48;0.91902;212.23;319.29;0.95735;131.71;319.73;0.9601;197.33;259.72;0.95973;131.89;263.45;0.96163;175.17;492;0.93073;118.96;498.71;0.93258;1
218.16;632.24;0.95053;156.14;77.685;0.99829;170.57;62.739;0.99768;138.27;66.08;0.99344;193.05;77.556;0.96519;119.27;84.815;0.72733;225.02;168.91;0.97942;98.429;169.69;0.98021;259.07;294.65;0.94506;84.046;300.52;0.94981;148.66;312.88;0.93532;206.11;286.75;0.941;212;342.72;0.98045;120.6;346.62;0.98085;224.67;421.84;0.96018;138.66;433.15;0.96156;222.05;545.95;0.87333;122.22;545.37;0.87697;1
218.3;629.05;0.94937;149.72;84.02;0.99781;164.05;69.594;0.99738;132.68;73.128;0.99187;187.62;82.629;0.97062;113.22;90.217;0.72251;220.02;172.21;0.97963;93.352;172.35;0.97995;255.35;295.86;0.94615;78.574;302.12;0.94892;148.23;317.43;0.93627;198.17;288.52;0.94043;206.89;342.53;0.98084;115.98;346.18;0.98107;223.71;421.36;0.96187;135.65;431.8;0.96298;220.09;543.89;0.88015;121.63;544.77;0.88333;1
218.27;634.71;0.95112;154.91;79.477;0.99821;169.61;64.257;0.99697;136.44;67.143;0.99358;191.67;77.527;0.95777;117.57;85.609;0.68284;224.12;167.88;0.97251;97.277;167.79;0.97346;256.88;294.21;0.93876;78.288;297.44;0.94305;141.72;318.17;0.93203;200.35;283.96;0.93679;210.54;337.83;0.97951;118.85;340.17;0.98001;227.12;417.56;0.96828;136.72;427.42;0.96959;222.02;545.7;0.90942;122.66;546.47;0.91247;1
